player,pos,sleeper,underdog,espn,ffc
KC Concepcion,WR,143.2,117.4,147.3,127.2
Jauan Jennings,WR,146.3,156.4,169.9,137.3
Denzel Boston,WR,147.5,152.8,167.4,155.2
Omar Cooper Jr.,WR,149.3,145.4,169.9,159.8
Rashid Shaheed,WR,152.2,130.3,156.0,106.1
Travis Hunter,WR,160.2,141.2,116.4,161.0
Jalen McMillan,WR,163.7,146.7,167.1,140.4
Deebo Samuel Sr.,WR,164.3,135.7,136.4,93.9
Jalen Nailor,WR,166.5,148.7,169.7,136.7
Antonio Williams,WR,168.1,176.4,170.5,145.8
Jerry Jeudy,WR,173.5,178.8,161.3,133.2
Tyreek Hill,WR,174.0,215.4,169.9,
Adonai Mitchell,WR,177.9,172.2,169.4,160.5
Kayshon Boutte,WR,178.7,195.0,170.7,147.2
Zachariah Branch,WR,180.4,179.3,170.2,
Troy Franklin,WR,184.7,213.8,171.2,
Brandon Aiyuk,WR,190.2,215.6,171.0,
Tre' Harris,WR,194.5,165.0,170.8,
Ja'Kobi Lane,WR,197.8,209.1,169.4,
Isaac TeSlaa,WR,198.6,169.3,170.4,
